iter,r2,rmse,mae,spearman
0,-0.1428665314636146,0.005034710834966361,0.0030958187225720466,-0.05066409874128184
1,-0.1369417991609705,0.00502164365994971,0.0031825624888017537,0.007030260091941263
2,-0.07866328699876846,0.004891248453606021,0.0030816181298955734,0.038746838633909646
3,-0.169488089296981,0.005093011729667404,0.0032041568770343576,-0.14416987386989077
4,-0.15929161823036098,0.005070760782377439,0.003212359358180418,-0.012354028404295975
5,-0.0512470772880651,0.004828688340927541,0.002989431719377701,0.24172924615188565
6,-0.15020921379681407,0.005050858430887253,0.003235946409100055,-0.134794390439748
7,-0.1534946257841907,0.005058066822982904,0.0031822207351313476,0.23395889765150987
8,-0.11676048822891971,0.004976875707540826,0.003132155667631534,-0.07128934875427238
9,-0.1432905475692483,0.005035644715017416,0.003218960979234499,-0.053279445281869627
10,-0.07854256530622195,0.00489097473690437,0.0030929499265353985,-0.06333807555776765
11,-0.14867587723628528,0.005047490674563349,0.0031686551179118012,-0.01446550339433225
12,-0.15744082942517368,0.005066711475091315,0.003123766283063486,-0.17228811008327047
13,-0.10692863072219616,0.004954919295186747,0.0030326079640275385,-0.04161810169660157
14,-0.1859354312428878,0.00512870001166857,0.0031155829437049397,-0.14374028566831368
15,-0.21077130083985796,0.005182124396447885,0.0032704883279974124,-0.05338350683851712
16,-0.17905903513237043,0.005113809553615602,0.003352341815944126,0.000985292919253706
17,-0.13474453810424114,0.0050167888827532,0.0031742241355175757,-0.03820874817041535
18,-0.18091863916103001,0.0051178406978904505,0.0031361228709989764,0.02396298140040954
19,-0.20478676327040368,0.005169301564006326,0.003284661164615058,-0.32331341767121735
20,-0.14469988803873202,0.005038747492408701,0.003153027841581417,-0.034739623808701006
21,-0.2078625459572585,0.005175895890008915,0.0033482283144775265,0.002242386557730008
22,-0.22243434019983477,0.005207023594419408,0.0032762978694177067,-0.0767262574985254
23,-0.17553248448694303,0.005106156156713487,0.0032485680605802364,0.036232123269690865
24,-0.2744297542708314,0.005316609048474142,0.0033786957149219508,-0.21654838656955333
25,-0.20760016967342887,0.005175333696036248,0.003190506592078276,-0.04134633911116284
26,-0.22696997167526956,0.005216674531508305,0.0032216431354774163,0.10381300341417299
27,-0.07525681813848295,0.004883518951123013,0.0031147772649302652,-0.08701426425428828
28,-0.05225240412206733,0.004830996670734751,0.003056065923608791,-0.00029161650762372444
29,-0.05607041455591455,0.004839753169914906,0.0029820299827349396,-0.016032947084717284
30,-0.176533525169962,0.005108329802440752,0.0031718406811122916,-0.16598915149511909
31,-0.11150466328134079,0.004965150527044207,0.0031207870269843252,0.08220933478714593
32,-0.1024584406229645,0.0049449042690410455,0.0031441139119236425,0.14866827702380148
33,-0.06316373383106133,0.0048559795790336455,0.0030622383267778427,0.12694717739865727
34,-0.12131414058299228,0.004987012127405517,0.003195946171493052,0.012224292519198512
35,-0.19911909983693254,0.005157128289854333,0.0031855250479014747,-0.09991637977905572
36,-0.19461290835008693,0.005147429135995898,0.003192577123931877,0.18841910475780274
37,-0.03277261811587362,0.004786070949115354,0.0030291743976135787,-0.11087602660354595
38,-0.1913235751120408,0.005140337599950475,0.0032101651194420136,-0.14911079916688944
39,-0.17747637974611252,0.005110376258179508,0.0032159537094489997,-0.08604765460089389
40,-0.1124047638197363,0.004967160518723046,0.003039410999763124,0.026714814947668312
41,-0.12058155311058472,0.00498538278046601,0.0031306260911754136,-0.1271790940133668
42,-0.02974593875234577,0.0047790526903416985,0.0030171640219458385,0.11438337832612723
43,-0.08410793158679986,0.004903577411396899,0.003032004951785261,0.0037623342266955317
44,-0.08428534815520328,0.004903978635417795,0.0030832101458376903,-0.13845745239241947
45,-0.3386994137410064,0.005449018864791307,0.0034983817326851093,-0.08111751189697676
46,-0.18406851379447509,0.005124661583235572,0.0032664587242264786,-0.20353192180774035
47,-0.053628521759513825,0.004834154585878295,0.0029671450587888015,0.08505395263912786
48,-0.11523586396568031,0.0049734772809822865,0.0030972012875403474,-0.012159072378772015
49,-0.06832659724621837,0.004867755938340456,0.00304814499559148,0.02527268089910147
