ablation,removed_n,kept_n,r2,rmse,mae,spearman,delta_r2,delta_rmse,delta_mae,delta_spearman
regex:^S_,1267,4140,0.805783825308654,0.002075484397133839,0.0005289625119038347,0.9272936286700006,-0.02482628010497867,0.00013718650382818368,3.192813172461361e-05,0.12312750106100812
regex:^ORF1ab_,3462,1945,0.8113515489898064,0.0020455184291612565,0.0005516809487259065,0.9086172915732296,-0.019258556423826234,0.0001072205358556011,5.464656854668542e-05,0.10445116396423704
topk_coef:50,50,5357,0.7972414222642853,0.002120637285245875,0.0005967809344563827,0.874036358116296,-0.03336868314934738,0.00018233939194021954,9.974655427716166e-05,0.06987023050730345
