iter,r2,rmse,mae,spearman
0,-0.2691432521650359,0.005305570592817189,0.003217297477143672,0.3292633704982458
1,-0.5706412883896277,0.0059022184556660594,0.003591547600611251,-0.3348044762468563
2,-0.2346659470040071,0.005233009340643717,0.0031804119371326234,-0.18362134974815672
3,-0.3423265111934093,0.0054563957086979946,0.003398083581826564,-0.1354841629026905
4,-0.1802418144314233,0.005116373883204406,0.003039921261001092,-0.13849669858862024
5,-0.1637035621990761,0.005080400577565681,0.00312609395078655,-0.013914256421658746
6,-0.2806471798364525,0.005329562058522058,0.00338360658441596,-0.06983465613109452
7,-0.8220741352136525,0.006357111027448722,0.003663995163082247,-0.16900297748272133
8,-0.35246510729079517,0.00547696303193069,0.003302586286171453,-0.5131033117679116
9,-0.19946974407820672,0.005157882253809914,0.0031920935342137735,-0.29864942902824715
10,-0.18283241268609807,0.005121985955138669,0.003264728544833429,-0.06699158421550547
11,-0.09851987077925917,0.004936063447568973,0.0031003271038466617,0.07942807892982046
12,-0.38934636016859536,0.005551138188551284,0.0033628787111230542,-0.42177534456894444
13,-0.23786331582887543,0.005239780825068111,0.003343837849477812,-0.16454868723352536
14,-0.6185981987506375,0.005991648136862103,0.003617977096135725,-0.18231006571902997
15,-0.1749864807356527,0.005104970181734473,0.003191742330035686,0.27755087139090495
16,-0.2480895275981907,0.0052613796952729885,0.003291477870242988,-0.004967963017295737
17,-0.3478719757397317,0.005467654915050913,0.0033436629674785732,-0.14802871852224647
18,-0.2402986024869549,0.005244932483724944,0.003315191732433693,-0.2596958197092784
19,-0.2533541976655156,0.005272464749154728,0.0032191184751365893,0.010236073049943542
